Symbol,Price,52 week low,52 week high,Standardized_Price,EBITDA,Standardized_EBITDA,Date first added,Standardized_Date,Dividend Yield,Standardized_Dividend,Number of employees,Standardized_EmpNum
IBM,180.38,138.09,182.79,0.946085011,18.55,0.273614619,40499,0.879615762,3.11,0.212576897,17000,0.037340348
IP,51.48,37.88,58.86,0.648236416,2.87,0.051159095,28125,0.240561896,3.43,0.234449761,16100,0.03530656
IPG,24.2,20.82,25.33,0.749445676,1.1,0.026047726,39351,0.820327429,2.97,0.203007519,21500,0.047509288
IFF,123.89,106.11,143.64,0.47375433,0.67298,0.019989501,0,0,2.05,0.140123035,25200,0.055870416
INTU,125.4,96.85,128.45,0.903481013,1.41,0.030445762,42794,0.998140784,1.08,0.073820916,22450,0.049656064
ISRG,730.15,561.02,746.28,0.912933175,1.05,0.025338365,0,0,0,0,14600,0.031916913
IVZ,31.96,23.01,33.46,0.85645933,1.33,0.029310785,33878,0.537674947,3.46,0.236500342,2110,0.003692455
IRM,35.79,30.32,41.5,0.489266547,1.11,0.026189598,27850,0.226359552,6.05,0.413533835,13000,0.02830129
JBHT,96.6,75.71,102.38,0.78327709,1.08,0.025763981,36865,0.691938233,0.94,0.064251538,11300,0.02445969
JEC,56.51,39.88,63.42,0.706457094,0.64212,0.019551684,39601,0.833238651,1.06,0.072453862,50000,0.111912574
SJM,139.17,122.05,157.31,0.485536018,1.66,0.033992566,39681,0.837370242,2.14,0.146274778,12200,0.026493478
JNJ,123.83,106.07,126.07,0.888,24.96,0.364554663,39819,0.844497237,2.59,0.177033493,22500,0.049769052
JCI,41.47,36.29,48.97,0.40851735,3.76,0.063785716,39381,0.821876775,2.66,0.181818182,170000,0.383084307
JPM,91.41,57.05,93.98,0.930408882,0,0.01044179,42186,0.966740691,2.07,0.141490089,250355,0.564667679
JNPR,28.15,21.17,29.21,0.868159204,1.11,0.026189598,39758,0.841346899,1.41,0.096377307,18100,0.039826089
KSU,89,79.05,100.69,0.459796673,1.12,0.02633147,26845,0.174456438,1.47,0.100478469,22450,0.049656064
K,74.14,70.74,87.16,0.207064555,2.25,0.042363022,40417,0.875380881,2.79,0.190704033,33577,0.074800463
KEY,18.79,10.21,19.53,0.920600858,0,0.01044179,27575,0.212157207,1.78,0.121667806,15700,0.034402654
KMB,133.38,111.3,138.87,0.800870511,4.08,0.068325625,0,0,2.9,0.19822283,31000,0.06897705
KIM,22.75,22.73,32.24,0.002103049,0.76614,0.021311182,41418,0.927077416,4.62,0.315789474,32500,0.072366696
KMI,21.63,16.63,23.36,0.742942051,6.16,0.097835031,0,0,2.3,0.15721121,2500,0.004573763
KLAC,91.04,66.88,91.65,0.975373436,1.25,0.028175808,34394,0.56432371,2.39,0.163362953,9300,0.019940161
KSS,39.51,33.87,59.67,0.218604651,2.31,0.043214255,0,0,4.96,0.339029392,13500,0.029431172
KHC,90.8,75.55,97.77,0.686318632,8.57,0.132026218,38811,0.792439188,2.62,0.179084074,7500,0.015872585
KR,28.81,28.71,39.22,0.009514748,5.78,0.09244389,41054,0.908278676,1.62,0.110731374,443000,1
LB,50.17,47.93,88.77,0.054848188,2.51,0.046051698,0,0,4.59,0.313738893,17000,0.037340348
LLL,169.07,115.75,171.24,0.960893855,1.23,0.027892064,0,0,1.79,0.122351333,18100,0.039826089
LH,142.09,109.87,143.7,0.952409104,1.83,0.036404392,42191,0.966998915,0,0,73200,0.164339109
LRCX,117.43,72,119.91,0.948236276,1.62,0.033425077,0,0,1.52,0.103896104,7850,0.016663503
LEG,48.83,44.02,54.62,0.453773585,0.5892,0.018800897,30589,0.367814905,2.75,0.187969925,2000,0.003443881
LEN,50.71,39.68,50.81,0.991015274,1.34,0.029452657,0,0,0.32,0.021872864,1900,0.003217905
LUK,26.66,14.31,27.33,0.948540707,1.25,0.028175808,38292,0.76563549,0.94,0.064251538,32700,0.072818649
LVLT,55.46,44.01,60.12,0.710738672,2.67,0.048321653,41089,0.910086247,0,0,13500,0.029431172
LLY,82.74,64.18,84.28,0.923383085,5.37,0.086627132,0,0,2.48,0.169514696,17000,0.037340348
LNC,69.25,35.27,73.31,0.893270242,1.8,0.035978776,38629,0.783039818,1.63,0.111414901,14000,0.030561054
LLTC,65.33,42.65,65.76,0.981393336,0.72598,0.020741424,41948,0.954449207,2.04,0.139439508,4865,0.009918106
LKQ,30.89,29.37,36.35,0.217765043,1,0.024629004,39321,0.818778082,0,0,10600,0.022877855
LMT,269.04,214.81,270,0.982605544,6.11,0.09712567,25933,0.127356298,2.72,0.185919344,9300,0.019940161
L,47.45,36.05,48.05,0.95,2.94,0.0521522,27941,0.231059237,0.52,0.035543404,12200,0.026493478
LOW,80.84,64.87,83.65,0.850372737,7.44,0.115994666,42513,0.98362857,1.71,0.116883117,2700,0.005025716
LYB,91.23,69.82,97.64,0.769590223,6.07,0.096558182,30894,0.383566596,3.69,0.252221463,31800,0.070784861
MTB,166.73,106.05,173.72,0.896704596,0,0.01044179,0,0,1.7,0.11619959,11500,0.024911643
MAC,65.27,64.55,94.51,0.024032043,0.64491,0.019591266,30741,0.375664928,4.27,0.291866029,8700,0.018584303
M,30.81,28.55,45.5,0.133333333,2.9,0.051584712,41157,0.913598099,4.75,0.324675325,157900,0.355741158
MNK,49.71,42.67,85.83,0.163113994,1.48,0.031438867,0,0,0,0,16500,0.036210465
MRO,16.28,9.65,19.28,0.68847352,1.2,0.027466447,41403,0.926302742,1.24,0.084757348,1250,0.001749058
MPC,50.15,32.02,54.59,0.803278689,4.66,0.076554209,0,0,2.81,0.192071087,3100,0.005929622
MAR,86.15,60.87,91.07,0.837086093,2,0.038816219,41870,0.950420906,1.38,0.094326726,4000,0.00796341
MMC,73.62,57.11,74.76,0.935410765,3.1,0.054422155,33359,0.510871249,1.83,0.125085441,17000,0.037340348
MLM,209.93,150.75,243.98,0.634774214,0.95467,0.023985898,40725,0.891287507,0.77,0.052631579,24200,0.053610652
MAS,33.25,28.66,37.38,0.526376147,1.19,0.027324575,0,0,1.17,0.079972659,7850,0.016663503
MA,110.96,85.93,112.92,0.927380511,6.25,0.09911188,32020,0.441718742,0.79,0.053998633,11200,0.024233714
MAT,25.02,25,34.76,0.00204918,0.82347,0.022124535,41822,0.947941951,5.97,0.408065619,17000,0.037340348
MKC,99,88.64,107.84,0.539583333,0.7541,0.021140368,29767,0.325362805,1.89,0.129186603,21000,0.046379405
MCD,128.07,110.33,131.96,0.820157189,9.34,0.142950373,39647,0.835614316,2.94,0.200956938,375000,0.846336018
MCK,147.24,114.53,199.43,0.385276796,4.62,0.075986721,30041,0.339513505,0.73,0.049897471,0,0
MJN,88.33,69.25,94.4,0.758648111,1.01,0.024770876,0,0,1.87,0.127819549,6000,0.012482939
MDT,81.4,69.35,89.27,0.604919679,8.89,0.136566127,25749,0.117853638,2.1,0.14354067,22000,0.04863917
MRK,65.96,51.33,66.8,0.945701357,12,0.180688364,0,0,2.82,0.192754614,102000,0.229420325
MET,53.35,36.17,58.09,0.783759124,1.57,0.032715717,40168,0.862521304,2.92,0.199589884,16000,0.035080583
MTD,481.3,325.7,488.5,0.955773956,0.58824,0.018787277,31716,0.426018695,0,0,111000,0.249758205
KORS,36.02,34.92,59.49,0.044770045,1.22,0.027750192,0,0,0,0,12689,0.027598503
MCHP,73.84,45.9,76.5,0.913071895,0.9251,0.023566382,0,0,1.97,0.134654819,10500,0.022651879
MU,25.64,9.35,25.92,0.983101992,3.39,0.058536447,42619,0.989102928,0,0,31400,0.069880956
MSFT,64.4,48.03,65.91,0.915548098,27.74,0.40399512,41591,0.936011982,2.43,0.166097061,114000,0.256537499
MAA,100.78,85.04,110.01,0.630356428,0.63626,0.019468547,39332,0.819346176,3.44,0.235133288,12550,0.027284396
MHK,227.3,175.52,233.7,0.889996562,1.7,0.034560054,34604,0.575169137,0,0,21500,0.047509288
TAP,96.99,88.24,112.19,0.365344468,0.851,0.022515109,34486,0.56907504,1.64,0.112098428,15000,0.032820819
MDLZ,43.23,39.21,46.4,0.559109875,4.24,0.070595579,42706,0.993596034,1.74,0.118933698,12700,0.027623361
MON,115.06,83.73,116.04,0.969668833,4.01,0.06733252,41631,0.938077777,1.88,0.128503076,37000,0.082535636
MNST,46.7,40.3,55.5,0.421052632,1.21,0.027608319,27941,0.231059237,0,0,1240,0.00172646
MCO,112.66,87.3,114.03,0.948746727,1.64,0.033708822,41184,0.914992511,1.35,0.092276145,3000,0.005703645
MS,46.33,23.11,47.17,0.965087282,0,0.01044179,37475,0.723441615,1.71,0.116883117,2100,0.003669857
MSI,79.66,62.76,87.55,0.681726503,1.54,0.0322901,41088,0.910034602,2.33,0.159261791,5985,0.012449042
MUR,27.74,21.35,37.48,0.396156231,0.88273,0.02296527,0,0,3.57,0.244019139,7700,0.016324538
MYL,43.33,33.6,50.4,0.579166667,3.53,0.060522657,0,0,0,0,49000,0.10965281
NDAQ,70.93,61.19,72.52,0.859664607,1.16,0.026898959,40812,0.895780613,1.8,0.12303486,2500,0.004573763
NOV,39.3,26.86,43.63,0.741800835,-0.736,0,0,0,0.5,0.03417635,2000,0.003443881
NAVI,14.54,11.01,17.95,0.508645533,0,0.01044179,0,0,4.29,0.293233083,1250,0.001749058
NTAP,42.66,22.5,43.14,0.976744186,0.768,0.021337571,38100,0.755719672,1.78,0.121667806,10700,0.023103832
NFLX,141.43,84.5,145.95,0.926444264,0.43732,0.016646142,39743,0.840572225,0,0,3500,0.006833528
NWL,48.53,38.82,55.45,0.583884546,2.39,0.044349232,38425,0.772504261,1.54,0.105263158,14000,0.030561054
NFX,35.86,29.22,50,0.319538017,0.536,0.018046137,41760,0.944739968,0,0,11900,0.025815549
NEM,32.98,24.59,46.07,0.390595903,2.59,0.047186675,36336,0.664618086,0.59,0.040328093,16900,0.037114371
NWSA,12.66,10.54,14.68,0.512077295,0.669,0.019933036,40532,0.881320043,1.55,0.105946685,77000,0.172926214
NWS,13,10.9,15.22,0.486111111,0.669,0.019933036,32628,0.473118835,1.51,0.103212577,77000,0.172926214
NEE,130.65,110.49,131.98,0.938110749,7.67,0.119257725,40532,0.881320043,3,0.2050581,8720,0.018629498
NLSN,44.5,40.28,55.94,0.269476373,1.62,0.033425077,25384,0.099003254,2.77,0.189336979,44000,0.098353988
NKE,56.55,49.01,65.44,0.458916616,5.18,0.083931561,41487,0.930640913,1.27,0.086807929,62600,0.140385606
NI,23.5,21.17,26.94,0.403812825,1.36,0.029736402,42265,0.970820637,2.95,0.201640465,1050,0.001297105
NBL,35.88,28.82,42.03,0.534443603,0.852,0.022529297,27941,0.231059237,1.09,0.074504443,2700,0.005025716
JWN,44.03,35.01,62.82,0.324343761,1.65,0.033850694,41464,0.929453081,3.19,0.218045113,72500,0.162757274
NSC,122,74.7,125,0.940357853,4.1,0.068609369,32477,0.465320457,1.99,0.136021873,19000,0.041859877
NTRS,88.39,61.32,91.14,0.907780013,0,0.01044179,0,0,1.71,0.116883117,3100,0.005929622
NOC,243.78,186.41,253.8,0.851313251,3.65,0.062225123,39363,0.820947167,1.48,0.101161996,131080,0.295134275
NRG,17.1,9.84,18.32,0.856132075,2.75,0.04945663,31655,0.422868357,0.69,0.047163363,19424,0.042818017
NUE,60.93,43.28,68,0.713996764,2.15,0.040944301,0,0,2.41,0.164730007,9200,0.019714185
NVDA,98.74,31.04,120.92,0.753226524,2.13,0.040660557,0,0,0.57,0.038961039,10100,0.021747973
ORLY,269.82,248.02,292.84,0.486390004,1.92,0.037681242,31228,0.400815989,0,0,13900,0.030335078
OXY,64.7,64.19,78.48,0.035689293,2.69,0.048605397,40207,0.864535454,4.69,0.320574163,6800,0.01429075
OMC,84.09,75.61,89.66,0.603558719,2.3,0.043072383,31167,0.397665651,2.58,0.176349966,16200,0.035532536
OKE,56.58,25.61,59.47,0.914648553,1.67,0.034134438,37225,0.710530393,4.36,0.298017772,6900,0.014516727
ORCL,42.6,37.51,43.26,0.885217391,14.6,0.217575121,39899,0.848628828,1.41,0.096377307,5100,0.010449151
PCAR,67.57,48.17,70.12,0.883826879,2.43,0.044916721,30316,0.35371585,1.4,0.09569378,55530,0.124409072
PH,157.49,99.1,159.05,0.973978315,1.6,0.033141333,0,0,1.68,0.114832536,43000,0.096094223
PDCO,44.15,36.46,50.4,0.551649928,0.39844,0.016094544,40252,0.866859474,2.13,0.145591251,27500,0.061067874
PAYX,62.16,51.06,63.01,0.928870293,1.31,0.029027041,32751,0.479471156,2.94,0.200956938,3780,0.007466262
PYPL,42.89,34,44.52,0.845057034,2.1,0.04023494,29586,0.31601508,0,0,18100,0.039826089
PNR,58.9,48.87,66.99,0.553532009,0.9195,0.023486934,31381,0.408717657,2.33,0.159261791,11000,0.023781761
PBCT,19.09,13.8,20.13,0.835703002,0,0.01044179,38636,0.783401332,3.51,0.239917977,7700,0.016324538
PEP,109.32,98.5,110.94,0.86977492,12.11,0.182248957,0,0,2.72,0.185919344,264000,0.595502165
PKI,54.08,45.35,57.28,0.73176865,0.40594,0.016200948,42205,0.967721944,0.51,0.034859877,54000,0.120951632
PRGO,70.3,69,140.65,0.018143754,1.34,0.029452657,41183,0.914940867,0.88,0.060150376,8550,0.018245338
PFE,33.99,28.74,37.39,0.606936416,19.81,0.291490509,39765,0.841708413,3.71,0.253588517,0,0
PCG,66.26,56.39,66.93,0.936432638,5.16,0.083647817,0,0,2.97,0.203007519,4650,0.009432257
PM,110.55,86.78,110.64,0.996227997,11.56,0.174445989,31198,0.399266643,3.77,0.257689679,82500,0.185354919
PSX,77.48,73.67,90.87,0.221511628,2.24,0.04222115,40896,0.900118783,3.22,0.220095694,6100,0.012708915
PNW,82.54,69.8,83.77,0.911954188,1.42,0.030587634,0,0,3.16,0.215994532,7100,0.01496868
PXD,193.94,124.3,199.83,0.922017741,0.776,0.021451068,0,0,0.04,0.002734108,5000,0.010223174
PNC,127.4,77.4,131.83,0.91861106,0,0.01044179,39538,0.829985023,1.72,0.117566644,2000,0.003443881
RL,79.14,75.62,114,0.091714435,1.01,0.024770876,41030,0.907039198,2.51,0.171565277,23000,0.050898934
PPG,100.78,89.64,117,0.407163743,2.56,0.046761059,0,0,1.57,0.107313739,5650,0.011692021
PPL,36.79,32.08,39.92,0.600765306,4.05,0.067900009,39715,0.839126168,4.31,0.294600137,14950,0.032707831
PX,118.79,105.92,125,0.674528302,3.44,0.059245808,32263,0.45426845,2.68,0.183185236,4300,0.008641339
PCLN,1736.46,1148.06,1748.39,0.980127596,4.15,0.06931873,39115,0.808139235,0,0,12650,0.027510372
PFG,63.04,37.69,64.31,0.95229151,1.95,0.038106858,0,0,2.83,0.193438141,32700,0.072818649
PG,90.29,79.1,91.89,0.874902267,17.77,0.262548591,0,0,2.96,0.202323992,3200,0.006155598
PGR,39.32,30.54,39.94,0.934042553,1.81,0.036120648,33786,0.532923617,1.71,0.116883117,1400,0.002088022
PLD,50.55,40.88,54.87,0.691208006,1.81,0.036120648,40123,0.860197283,3.44,0.235133288,11500,0.024911643
PRU,111.24,66.51,114.55,0.931099084,7.5,0.116845898,37459,0.722615297,2.67,0.182501709,2200,0.003895834
PEG,44.98,39.28,47.41,0.701107011,3.37,0.058252703,0,0,3.78,0.258373206,4300,0.008641339
PSA,228.01,200.65,277.6,0.355555556,1.86,0.036830009,35646,0.628983112,3.53,0.241285031,8100,0.017228444
PHM,22.79,16.6,22.94,0.976340694,1.03,0.025054621,37819,0.741207458,1.6,0.10936432,13600,0.029657149
PVH,89.75,82.1,115.4,0.22972973,1.07,0.025622109,37459,0.722615297,0.17,0.011619959,11000,0.023781761
QRVO,66.89,43.79,68.66,0.928829916,0.83108,0.0222325,0,0,0,0,5650,0.011692021
QCOM,56.73,49.67,71.62,0.321640091,8.55,0.131742474,38583,0.780664153,3.76,0.257006152,5400,0.01112708
PWR,37.53,21.52,38.82,0.925433526,0.5442,0.018162472,30802,0.378815266,0,0,21050,0.046492394
DGX,98.17,67.36,98.75,0.981522778,1.41,0.030445762,41320,0.922016216,1.83,0.125085441,33000,0.073496579
RRC,27.91,27.07,46.96,0.042232278,0.01157,0.010605936,42166,0.965707793,0.29,0.019822283,3800,0.007511457
RTN,154.48,120.24,156.4,0.946902655,3.69,0.062792611,39995,0.853586738,1.91,0.130553657,62000,0.139029748
O,59.84,52.72,72.29,0.363822177,0.99764,0.024595523,0,0,4.19,0.286397813,4950,0.010110186
RHT,81.97,68.54,85.01,0.815421979,0.39837,0.01609355,37602,0.730000516,0,0,7300,0.015420633
REG,65.72,65.16,85.35,0.027736503,0.40428,0.016177397,39437,0.824768889,2.95,0.201640465,34000,0.075756343
REGN,372.52,325.35,452.96,0.369641878,1.44,0.030871379,42814,0.999173682,0,0,0,0
RF,15.25,7.53,16.03,0.908235294,0,0.01044179,0,0,1.69,0.115516063,1500,0.002313999
RSG,62.08,45.56,62.39,0.981580511,2.65,0.048037908,42101,0.962350875,2.06,0.140806562,16100,0.03530656
RAI,61.18,43.38,61.96,0.958019376,6.03,0.095990693,40021,0.854929505,3.32,0.226930964,17000,0.037340348
RHI,47.53,34.34,50.98,0.792668269,0.61754,0.019202962,42796,0.998244074,2.02,0.138072454,25200,0.055870416
ROK,153.58,104.48,156.11,0.950997482,1.19,0.027324575,41395,0.925889583,1.99,0.136021873,31800,0.070784861
COL,97.47,78.54,98.12,0.96680286,1.22,0.027750192,36035,0.649072974,1.36,0.092959672,24200,0.053610652
ROP,211.75,159.28,213.39,0.969691369,1.3,0.028885169,39787,0.842844601,0.66,0.045112782,37000,0.082535636
ROST,66.87,52,69.81,0.8349242,2.11,0.040376812,0,0,0.95,0.064935065,67000,0.15032857
RCL,94.54,64.95,97.67,0.904339853,2.38,0.04420736,36865,0.691938233,2.01,0.137388927,5000,0.010223174
R,76.07,56.98,85.42,0.671237693,1.81,0.036120648,0,0,2.29,0.156527683,16900,0.037114371
SPGI,130.69,92.03,131.26,0.985470303,2.47,0.04548421,37074,0.702732015,1.27,0.086807929,7000,0.014742703
CRM,82.97,66.43,84.48,0.91634349,0.69647,0.020322759,40170,0.862624593,0,0,1400,0.002088022
SCG,69.81,64.5,76.41,0.445843829,1.6,0.033141333,40168,0.862521304,3.48,0.237867396,2950,0.005590657
SLB,79.95,71.34,87.84,0.521818182,6.38,0.100956218,41978,0.955998554,2.38,0.162679426,14200,0.031013007
SNI,78.34,58.73,83.42,0.794248684,1.52,0.032006356,30316,0.35371585,1.53,0.104579631,2700,0.005025716
STX,48.28,18.42,49.79,0.951864839,1.71,0.034701927,39706,0.838661364,5.15,0.352016405,4000,0.00796341
SEE,44.41,42.01,52.83,0.22181146,1.04,0.025196493,39815,0.844290657,1.38,0.094326726,17000,0.037340348
SRE,110.58,92.95,114.66,0.812068171,2.94,0.0521522,23832,0.018850385,3.01,0.205741627,3875,0.007680939
SHW,310.58,239.48,316.66,0.921223115,1.98,0.038532475,39630,0.834736353,1.09,0.074504443,32000,0.071236814
SIG,63.25,62.1,125.45,0.018153118,0.9051,0.023282638,41092,0.910241182,1.61,0.110047847,6800,0.01429075
SPG,177.29,173.11,229.1,0.074656189,4,0.067190648,0,0,3.9,0.26657553,2900,0.005477669
SWKS,95.05,57.11,97.57,0.937716263,1.37,0.029878274,0,0,1.18,0.080656186,2200,0.003895834
SLG,112.12,91.03,120.63,0.7125,0.98259,0.024382005,23558,0.004699685,2.76,0.188653452,14875,0.032538348
SNA,168.46,145.17,181.73,0.637035011,0.9267,0.023589082,42214,0.968186748,1.67,0.114149009,6900,0.014516727
SO,50.4,46.2,54.64,0.497630332,7.63,0.118690236,37433,0.72127253,4.45,0.304169515,26112,0.057931321
LUV,56.83,35.42,59.68,0.882522671,5.27,0.08520841,42075,0.961008108,0.68,0.046479836,29100,0.064683497
SWN,7.61,6.62,15.59,0.110367893,0.301,0.014712141,42083,0.961421267,0,0,2000,0.003443881
SWK,127.91,97.47,130.47,0.922424242,1.88,0.037113753,30224,0.34896452,1.81,0.123718387,6100,0.012708915
SPLS,8.78,7.24,11.37,0.372881356,1.36,0.029736402,0,0,5.34,0.365003418,5000,0.010223174
SBUX,56.2,50.84,61.64,0.496296296,4.95,0.080668502,34516,0.570624387,1.58,0.107997266,238000,0.536748289
STT,79.6,50.6,83.49,0.881726969,0,0.01044179,0,0,1.89,0.129186603,6400,0.013386845
SRCL,80.86,71.52,128.94,0.162661094,0.81854,0.022054592,30224,0.34896452,0,0,55650,0.124680243
SYK,129.14,102.31,131.36,0.923580034,3.11,0.054564027,36075,0.65113877,1.31,0.089542037,77000,0.172926214
STI,59.72,34.79,61.69,0.926765799,0,0.01044179,0,0,1.73,0.118250171,3000,0.005703645
SYMC,29.29,16.14,29.47,0.986496624,0.875,0.022855603,0,0,1.03,0.070403281,1500,0.002313999
SYF,35.6,23.25,38.06,0.833896016,0,0.01044179,39771,0.842018282,1.44,0.098427888,2100,0.003669857
SYY,52.3,44.71,57.07,0.61407767,3,0.053003433,36872,0.692299747,2.53,0.172932331,65000,0.145809041
TROW,70.9,62.97,79,0.494697442,1.93,0.037823114,32294,0.455869442,3.2,0.21872864,2500,0.004573763
TGT,55.14,55.05,84.14,0.003093847,7.27,0.113582839,37705,0.73531994,4.18,0.285714286,341000,0.769504027
TEL,74.36,54.54,76.49,0.902961276,2.63,0.047754164,42326,0.973970976,1.96,0.133971292,7600,0.016098562
TGNA,25.82,17.91,26.65,0.905034325,1.21,0.027608319,42810,0.998967102,2.16,0.147641832,2000,0.003443881
TDC,31.09,24.21,33.32,0.75521405,0.38,0.015832931,31777,0.429169034,0,0,1900,0.003217905
TSO,83.46,69.49,93.5,0.5818409,2.09,0.040093068,0,0,2.64,0.180451128,8900,0.019036256
TXN,79.12,54.54,80.37,0.951606659,5.7,0.091308912,28125,0.240561896,2.57,0.175666439,1100,0.001410093
TXT,47.85,32.55,50.93,0.832426551,1.59,0.032999461,40833,0.896865155,0.17,0.011619959,43000,0.096094223
BK,47.67,35.44,49.54,0.867375887,0,0.01044179,39969,0.85224397,1.58,0.107997266,1250,0.001749058
CLX,136.91,111.24,140.47,0.878207321,1.22,0.027750192,27759,0.221659867,2.34,0.159945318,11000,0.023781761
COO,193.46,141.67,201.83,0.860871011,0.62857,0.019359447,39356,0.820585653,0.03,0.002050581,34100,0.07598232
HSY,108.15,87.92,117.79,0.677268162,1.62,0.033425077,39352,0.820379073,2.27,0.155160629,11500,0.024911643
MOS,29.18,22.77,34.36,0.553062985,1.2,0.027466447,0,0,1.99,0.136021873,19400,0.042763782
TRV,122.14,103.45,125.49,0.84800363,5.12,0.083080328,28855,0.278262666,2.16,0.147641832,3100,0.005929622
DIS,110.86,90.32,111.99,0.947854176,16.78,0.248503249,0,0,1.4,0.09569378,18900,0.0416339
TMO,157.26,136.58,160.89,0.850678733,4.53,0.074709871,36698,0.683313536,0.37,0.025290499,12500,0.027171408
TIF,88.76,56.99,92.74,0.888671329,0.9348,0.023703998,0,0,1.99,0.136021873,10600,0.022877855
TWX,98.24,67.85,99.29,0.966603053,8.57,0.132026218,31320,0.405567319,1.63,0.111414901,9000,0.019262232
TJX,78.3,71.5,83.64,0.560131796,4.51,0.074426127,32628,0.473118835,1.32,0.090225564,2000,0.003443881
TMK,78.03,52.19,79.05,0.962025316,0.86538,0.022719122,39449,0.825388628,0.77,0.052631579,7700,0.016324538
TSS,54.26,43.67,56.54,0.822843823,0.85436,0.022562778,41663,0.939730414,0.73,0.049897471,4500,0.009093292
TSCO,71.43,61.5,97.25,0.277762238,0.83984,0.02235678,42524,0.984196664,1.33,0.090909091,6500,0.013612821
TDG,242.56,214.65,294.38,0.35005644,1.51,0.031864484,41576,0.935237308,0,0,17000,0.037340348
RIG,12.78,8.34,16.66,0.533653846,1.69,0.034418182,37489,0.724164644,0,0,10100,0.021747973
TRIP,41.31,40.45,71.69,0.027528809,0.215,0.013492041,40898,0.900222073,0,0,9100,0.019488209
FOXA,30.52,23.33,31.75,0.85391924,6.95,0.109042931,41456,0.929039921,1.18,0.080656186,21500,0.047509288
FOX,30.11,23.88,31.3,0.839622642,6.95,0.109042931,42265,0.970820637,1.2,0.08202324,21500,0.047509288
TSN,61.89,55.72,77.05,0.289263947,3.78,0.064069461,0,0,1.42,0.097060834,16900,0.037114371
USB,55.03,38.47,56.61,0.912899669,0,0.01044179,42436,0.979651913,2.02,0.138072454,2000,0.003443881
UDR,36.23,32.79,38.61,0.591065292,0.60553,0.019032574,42478,0.981820999,3.29,0.224880383,12600,0.027397384
ULTA,269.92,158.21,281.17,0.908506831,0.79709,0.021750277,0,0,0,0,19000,0.041859877
UA,18.11,17.77,46.2,0.011959198,0.56224,0.018418409,41760,0.944739968,0,0,11000,0.023781761
UAA,19.69,19.26,47.94,0.014993026,0.56224,0.018418409,42454,0.980581521,0,0,11000,0.023781761
UNP,108.36,77.29,111.38,0.911410971,9.31,0.142524757,0,0,2.22,0.151742994,32000,0.071236814
UAL,72.64,37.41,76.8,0.894389439,6.85,0.107624209,42250,0.970045964,0,0,19400,0.042763782
UNH,168.3,120.41,169.36,0.97834525,14.51,0.216298272,34516,0.570624387,1.49,0.101845523,230000,0.518670174
UPS,105.64,98.85,120.44,0.314497453,7.7,0.119683341,37459,0.722615297,3.13,0.213943951,5900,0.012256962
URI,128.15,55.69,134.28,0.922000254,1.72,0.034843799,41902,0.952073542,0,0,2500,0.004573763
UTX,112.28,95.05,114.44,0.888602372,10.04,0.152881423,0,0,2.35,0.160628845,31700,0.070558885
UHS,123.75,99.72,139.77,0.6,1.7,0.034560054,41902,0.952073542,0.32,0.021872864,0,0
UNM,48.71,29.79,50.27,0.923828125,1.62,0.033425077,34394,0.56432371,1.63,0.111414901,11900,0.025815549
URBN,25.41,24.29,40.8,0.067837674,0.49769,0.017502625,29036,0.287610391,0,0,25000,0.055418463
VFC,52.62,48.05,66.91,0.242311771,1.93,0.037823114,0,0,3.19,0.218045113,22000,0.04863917
VLO,65.62,46.88,71.4,0.764274062,5.52,0.088755214,39125,0.808655684,4.24,0.289815448,4100,0.008189386
VAR,86.06,66.86,93.97,0.708225747,0.6334,0.019427972,39876,0.847440996,0,0,6350,0.013273856
VTR,62.67,55.91,76.8,0.323599809,1.83,0.036404392,38749,0.789237205,4.87,0.332877649,0,0
VRSN,83.66,74.01,91.99,0.536707453,0.74474,0.021007576,42285,0.971853535,0,0,1380,0.002042827
VRSK,81.84,74.9,87.4,0.5552,0.9372,0.023738047,30650,0.370965243,0,0,26000,0.057678228
VZ,49.44,46.01,56.95,0.313528336,43.39,0.626025026,41540,0.933378092,4.61,0.315105947,162000,0.365006192
VRTX,91.32,71.46,103.73,0.61543229,0.0634,0.011341259,0,0,0,0,20700,0.045701476
VIAB,42.93,33.94,46.69,0.705098039,2.86,0.051017223,40168,0.862521304,1.89,0.129186603,20500,0.045249523
V,89.06,69.58,89.3,0.987829615,11.01,0.166643021,0,0,0.74,0.050580998,11300,0.02445969
VNO,107.85,86.35,111.72,0.847457627,1.4,0.03030389,36341,0.66487631,2.61,0.178400547,4089,0.008164529
VMC,118.37,101.58,138.18,0.458743169,0.94985,0.023917516,30194,0.347415173,0.82,0.056049214,0,0
WBA,85.99,75.74,88,0.836052202,7.89,0.122378912,27941,0.231059237,1.75,0.119617225,400000,0.902830129
WM,72.7,56.05,73.65,0.946022727,3.71,0.063076356,0,0,2.33,0.159261791,43000,0.096094223
WAT,153.36,126.61,162.53,0.744710468,0.72731,0.020760293,0,0,0,0,5000,0.010223174
WEC,59.29,53.66,66.1,0.452572347,2.44,0.045058593,39752,0.841037029,3.51,0.239917977,8440,0.017996764
WFC,58.3,43.55,59.99,0.897201946,0,0.01044179,27941,0.231059237,2.58,0.176349966,2700,0.005025716
HCN,68.49,59.39,80.19,0.4375,2.11,0.040376812,39843,0.845736714,5,0.3417635,476,0
